patient,sample,lane,fastq_1,fastq_2
0001,sample1,L001,/data/public/Project/Seawall/FASTQ/610173-9130rv3-HSN-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/610173-9130rv3-HSN-WES_L01_2.fq.gz
0002,sample2,L001,/data/public/Project/Seawall/FASTQ/603948-9130rv3-ZYX-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/603948-9130rv3-ZYX-WES_L01_2.fq.gz
0002,sample2,L002,/data/public/Project/Seawall/FASTQ/603948-9130rv3-ZYX-WES_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/603948-9130rv3-ZYX-WES_L02_2.fq.gz
0003,sample3,L001,/data/public/Project/Seawall/FASTQ/603900-9130rv3-WCM-WES_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/603900-9130rv3-WCM-WES_L03_2.fq.gz
0003,sample3,L002,/data/public/Project/Seawall/FASTQ/603900-9130rv3-WCM-WES_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/603900-9130rv3-WCM-WES_L04_2.fq.gz
0004,sample4,L001,/data/public/Project/Seawall/FASTQ/612738-9130rv3-GYZ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612738-9130rv3-GYZ-WES_L01_2.fq.gz
0005,sample5,L001,/data/public/Project/Seawall/FASTQ/612597-9130rv3-WLM-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612597-9130rv3-WLM-WES_L01_2.fq.gz
0006,sample6,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134204-9130r-B_082-WES-75_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134204-9130r-B_082-WES-75_L04_2.fq.gz
0006,sample6,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134204-9130r-B_082-WES-75_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134204-9130r-B_082-WES-75_L03_2.fq.gz
0007,sample7,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134219-9130r-B_013-WES-81_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134219-9130r-B_013-WES-81_L03_2.fq.gz
0007,sample7,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134219-9130r-B_013-WES-81_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134219-9130r-B_013-WES-81_L04_2.fq.gz
0008,sample8,L001,/data/public/Project/Seawall/FASTQ/605226-9130rv3-WZQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/605226-9130rv3-WZQ-WES_L01_2.fq.gz
0009,sample9,L001,/data/public/Project/Seawall/FASTQ/603947-9130rv3-SYF-WES_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/603947-9130rv3-SYF-WES_L02_2.fq.gz
0009,sample9,L002,/data/public/Project/Seawall/FASTQ/603947-9130rv3-SYF-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/603947-9130rv3-SYF-WES_L01_2.fq.gz
0010,sample10,L001,/data/public/Project/Seawall/FASTQ/612747-9130rv3-JQM-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612747-9130rv3-JQM-WES_L01_2.fq.gz
0011,sample11,L001,/data/public/Project/Seawall/FASTQ/612590-9130rv3-WHW-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612590-9130rv3-WHW-WES_L01_2.fq.gz
0012,sample12,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L04_2.fq.gz
0012,sample12,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L03_2.fq.gz
